Common name (Required)	Scientific name (Required)	Description (Required)	Pictures	Common name synonyms	Scientific synonyms	Family	Origin	Status	Uses	Edibility	Edibility working column	Look-a-likes	Fun Facts	Components go to the right of this column FORMAT: <Component Name> DASH <Component Possibility>, <Component Possibility>, .... LEFT CURLY BRACE isRequired RIGHT CURLY BRACE LEFT CURLY BRACE <Observation Type> RIGHT CURLY BRACE LEFT CURLY BRACE <Data Type> RIGHT CURLY BRACE LEFT CURLY BRACE isFilterable RIGHT CURLY BRACE LEFT CURLY BRACE <Judgement description> RIGHT CURLY BRACE	Flower color- yellow, white, blue, purple, red, orange, pink, green{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the color of the flower?}	Flower arrangement- solitary, head, spike, raceme, umbel, cyme, corymb, panicle{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower arrangement?}	Flower symmetry- radial, bilateral{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower symmetry}	Number flower parts- 3, 4, 5, 6, more{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{If flower parts are indistinguishable, leave blank.}	Flowering month- Mar, Apr, May, Jun, Jul, Aug, Sept, Oct, Nov{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{In what month does this plant flower?}	Leaf arrangement- alternate, opposite, whorled, basal{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf arrangement?}	Leaf type- simple, trifoliate, palmate, pinnate, bipinnate{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf type}	Leaf shape- ovate, obovate, lanceolate, cordiform, linear, elliptic, oblong, orbicular, reniform, spatulate, lobed, divided{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf shape}	Leaf margin- entire, finely toothed, coarsely toothed, doubly toothed, lobed, wavy{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf margin like?}	Petiole present{NO}{DATA_PHOTO}{JUDGEMENT_BOOL}{FILTER}{Is a Petiole present?}	Leaf venation- parallel, branched{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Parallel or Branched?}	Stem shape- round, square, ridged{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the shape of the stem?}	Stem texture- hairless, hairy, fuzzy, prickly{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What does the surface of the stem look like?}	Plant height{NO}{DATA_NUMBER}{JUDGEMENT_NUMBER}{FILTER}{What is the height of the plant when in flower?}	Growth form- upright no/few branches, upright branching, sprawling{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How does the plant grow?}	Distribution- singular, bunches, patches{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How is the plant distrubuted in the area?}	Cell name{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{Cell Name, Meters East, Meters North}	Abundance{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{}
Ohio spiderwort, Common spiderwort, Smooth spiderwort, Blue jacket	Tradescantia ohiensis	Tradescantia ohiensis, commonly known as bluejacket or Ohio spiderwort, is an herbaceous plant species in the genus Tradescantia native to eastern North America. It is the most common and widely distributed species of Tradescantia in the United States, where it can be found from Massachusetts in the north, west to Minnesota, and south to Texas and Florida. It also has a very small distribution in Canada in extreme southern Ontario near Windsor. Distinguishing features of the species include glaucous  leaves and stems, leaves forming an acute angle with the stems, sepals  with hairs lacking glands which are confined to the apex if present at  all, and a relatively tall habit (up to about 115 cm). Typical habitats  for the plant include roadsides, along railroads, and in fields and  thickets. Less typically it can occur in woods, and sometimes along  streams. As with many species in the genus, it is often forms hybrids  with related species where they co-occur. More specifically, at least  nine different species are thought to be capable of forming hybrids with  T. ohiensis.[1]			Tradescantia canaliculata, Tradescantia foliosa, Tradescantia incarnata, Tradescantia reflexa	Spiderwort (Commelinaceae)	native								blue, purple, pink	cyme	radial	3	Apr, May, Jun, Jul	alternate	simple	linear	entire	no	parallel	round	hairless	79, 25	upright no/few branches	bunches, singular		
Red clover	Trifolium pratense	Trifolium pratense (red clover) is a species of clover, native to Europe, Western Asia and northwest Africa, but planted and naturalised in many other regions. It is an herbaceous, short-lived perennial plant, variable in size, growing to 20–80 cm tall. The leaves  are alternate, trifoliate (with three leaflets), each leaflet 15–30 mm  long and 8–15 mm broad, green with a characteristic pale crescent in the  outer half of the leaf; the petiole is 1–4 cm long, with two basal stipules. The flowers are dark pink with a paler base, 12–15 mm long, produced in a dense inflorescence.				Bean, Pea (Fabaceae)	nonnative	invasive, hazardous							red, pink	head	bilateral	5	May, Jun, Jul, Aug, Sept	alternate	trifoliate	divided, ovate, elliptic	entire	yes	branched	round	hairy	46, 25	upright no/few branches	bunches, singular, patches		
White clover	Trifolium repens	Trifolium repens, the white clover (also known as Dutch clover), is a species of clover native to Europe, North Africa, and West Asia. It has been widely introduced worldwide as a pasture crop, and is now also common in most grassy areas of North America and New Zealand.				Bean, Pea (Fabaceae)	nonnative	potentially invasive, hazardous							white, pink	head	bilateral	5	Jun, Jul, Aug	alternate	trifoliate	divided, orbicular, elliptic	entire	yes	branched	round	hairless	15, 10	upright no/few branches	bunches, singular, patches		
Stinging nettle	Urtica dioica	Stinging nettle is a dioecious herbaceous perennial,  1 to 2 m (3 to 7 ft) tall in the summer and dying down to the ground in  winter. It has widely spreading rhizomes and stolons, which are bright  yellow as are the roots. The soft green leaves  are 3 to 15 cm (1 to 6 in) long and are borne oppositely on an erect  wiry green stem. The leaves have a strongly serrated margin, a cordate  base and an acuminate tip with a terminal leaf tooth longer than  adjacent laterals. It bears small greenish or brownish numerous flowers  in dense axillary inflorescences. The leaves and stems are very hairy  with non-stinging hairs and also bear many stinging hairs (trichomes), whose tips come off when touched, transforming the hair into a needle that will inject several chemicals: acetylcholine, histamine, 5-HT (serotonin), moroidin,[2] leukotrienes,[2] and possibly formic acid.[3][4] This mixture of chemical compounds cause a painful sting or paresthesia from which the species derives its common name, as well as the colloquial names burn nettle, burn weed, burn hazel.			Urtica californica, Urtica cardiophylla, Urtica gracilis, Urtica lyallii, Urtica major, Urtica procera, Urtica serra, Urtica strigosissima, Urtica viridis	Nettle (Urticaceae)	native	hazardous							white, yellow	panicle	radial	4	Jun, Jul, Aug, Sept	opposite	simple	cordiform, lanceolate, ovate	coarsely toothed	yes	branched	ridged, square	prickly, hairy	130, 41	upright no/few branches, upright branching	bunches, singular		
Common mullein, Flannel plant, Giant mullein	Verbascum thapsus	Verbascum thapsus is a dicotyledonous plant that produces a rosette of leaves in its first year of growth.[2][3]  The leaves are large, up to 50 cm long. The second year plants normally  produce a single unbranched stem usually 1–2 m tall. In the East of its  range in China, it is, however, only reported to grow up to 1.5 m tall.[4] The tall pole-like stems end in a dense spike of flowers[2] that can occupy up to half the stem length. All parts of the plants are covered with star-shaped trichomes.[4][5] This cover is particularly thick on the leaves, giving them a silvery appearance. The species' chromosome number is 2n = 36.[6] On flowering plants the leaves are alternately arranged up the stem. They are thick and decurrent, with much variation in leaf shape between the upper and lower leaves on the stem, ranging from oblong to oblanceolate, and reaching sizes up to 50 cm long and 14 cm across (19 inches long and 5 inches wide).[7][8] They become smaller higher up the stem,[2][3] and less strongly decurrent down the stem.[2] The flowering stem is solid and 2–2.5 cm (nearly an inch) across, and occasionally branched just below the inflorescence,[3] usually following damage.[9] After flowering and seed release the stem and fruits usually persist in winter,[10]  drying into dark brown, stiff structures of densely packed,  ovoid-shaped and dry seed capsules. The dried stems may persist into the  following spring or even the next summer. The plant produces a shallow taproot.[8] 				Snapdragon (Scrophulariaceae)	nonnative	potentially invasive 							yellow	spike	radial	5	Jun, Jul, Aug, Sept	basal, alternate	simple	oblong, obovate, spatulate	entire, finely toothed	no	branched	square, ridged	fuzzy	147, 41	upright no/few branches	singular		
Blue vervain, Simpler's joy, Swamp verbena	Verbena hastata	Verbena hastata (Blue Vervain or Swamp Verbena) is a flowering plant in the vervain family, Verbenaceae. It is a herb with opposite, simple leaves  which have double-serate margins, borne on stiffly erect, branching  square stems. The flowers appear in summer and are purple. This is a  common plant that occurs across North America. They are hardy and  drought resistant.[1]				Vervain (Verbenaceae)	native								blue, pink, purple	spike, raceme	radial	5	Jul, Aug, Sept, Oct	opposite	simple	lanceolate	coarsely toothed	yes	branched	square, ridged	hairy	74, 28	upright no/few branches, upright branching	bunches, singular		
Hoary vervain, Hoary verbena	Verbena stricta					Vervain (Verbenaceae)	native								blue, pink, purple	spike, raceme	radial	5	Jul, Aug, Sept	opposite	simple	lanceolate, elliptic	coarsely toothed	no	branched	ridged, square	hairy	74, 28	upright no/few branches, upright branching	bunches, singular		
White vervain, Nettle-leaved vervain	Verbena urticifolia	Verbena urticifolia (White Vervain) is a herbaceous plant in the vervain family (Verbenaceae). It belongs to the "true" vervains of genus Verbena.  The Urtica-like leaves were the reason for the scientifiv name urticifolia. White Vervain has opposite, simple leaves on thin, rigid, green stems. The leaves look similar to those of Urtica, which is the reason for the plant being named urticifolia. The small flowers are borne in spikes; they open in summer and unusually for this normally bluish-flowered genus are white. It might be closest to a group that might include such North American species as V. lasiostachys or V. menthifolia, and the Common Vervain (V. officinalis) from Europe. As these, it is diploid with 14 chromosomes altogether. The relationship of the Swamp Verbena (V. hastata) to these species is more enigmatic; its evolution might have involved hybridization with the White Vervain or a related species in the past.[1]				Vervain (Verbenaceae)	native								white	spike, raceme	radial	5	Jul, Aug, Sept, Oct	opposite	simple	lanceolate, ovate	coarsely toothed, finely toothed, doubly toothed	yes	branched	ridged, square	hairy	104, 38	upright no/few branches	bunches, singular		
Culver's root, Culver's physic	Veronicastrum virginicum	Veronicastrum virginicum (Culver's root, Culver's-root, Culverpsyic, Culver's physic,Bowman's root,Blackroot; syn. Leptandra virginica (L.) Nutt., Veronica virginica L.[1][2]) is a wildflower native to the United States. It is cultivated as a garden flower in the Eastern United States.[2] Veronicastrum virginicum is an erect perennial herb that grows  80–200 cm in height. The leaves are serrated and arranged in whorls of  3-7 around the stem. The inflorescence is erect with slender and  spike-like racemes. The stamens are crowded and protrude in a brush-like  fashion perpendicular to the raceme . The corollas are white and are  roughly 2 mm. in length. These plants flower from mid-summer to early  fall.[3] Culver's Root is frequently found in wet to wet-mesic prairies and sometimes moist upland sites.[3]			Leptandra virginica, Veronica virginica	Snapdragon (Scrophulariaceae)	native								white	spike, raceme	radial	4	Jul, Aug	whorled	simple	lanceolate, elliptic	finely toothed	yes, no	branched	round	hairless	112, 33	upright no/few branches, upright branching	bunches, singular		
Dog violet, Alpine violet	Viola labradorica	Viola labradorica (Labrador Violet, Alpine Violet) is a perennial native to Greenland, eastern Canada, and the United States. The plant sold as Viola labradorica by nurseries is Viola riviniana.			Viola adunca, Viola conspersa	Violet (Violaceae)	native								blue, purple	solitary	bilateral	5	Jun, Jul, Aug	basal	simple	cordiform	finely toothed, coarsely toothed	yes	branched	round	hairless	14, 6	upright no/few branches, sprawling	bunches, singular		
Bird's foot violet	Viola pedata	Viola pedata (Birdsfoot violet, Bird's-foot violet) is an ornamental plant in the Violaceae family, is also known as the "mountain pansy" is endemic to eastern North America.  It favors well drained, acidic soils in full to partial sun  environments. It is difficult to cultivate in typical garden  environments because of an intolerance to rich, organic garden soils as  well as excess moisture.				Violet (Violaceae)	native								blue, purple	solitary	radial	5	Apr, May, Jun	basal	simple	divided, lobed, linear	lobed	yes	branched, parallel	round	hairless	10, 5	upright no/few branches, sprawling	bunches, singular		
Prairie violet	Viola pedatifida	Viola pedatifida (Prairie violet, Crow-foot violet, larkspur violet, purple prairie violet, coastal violet; syn. Viola pedatifida subsp. brittoniana (Pollard) L. E. McKinney, Viola pedatifida G. Don subsp. pedatifida,[1] Viola palmata L. var. pedatifida (G.Don) Cronquist[2]) is a perennial herbaceous plant in the Violet family (Violaceae). It is 4-8in. (10–20 cm) tall with pale purple flowers and deeply divided leaves. Prairie violet is native to North America.[3] The specific epithet pedatifida means "pedately-cleft" in botanical Latin,  in reference to the leaves, which look like a bird's foot with the  outer toes again parted. Prairie violet was described for science in  1831 by the Scottish botanist George Don (1798–1856)[4]			Viola palmata, Viola emarginata	Violet (Violaceae)	native								blue, purple	solitary	radial	5	Apr, May, Jun	basal	simple	lobed	lobed	yes	branched	round	hairless	10, 5	upright no/few branches, sprawling	bunches, singular		
Yellow violet, Downy yellow violet, Yellow forest violet	Viola pubescens	Viola pubescens, often called Downy yellow violet, is a plants species of the genus Viola. It is found in dry mixed and deciduous woodland areas of the United States and Canada; from Minnesota and Ontario to Nova Scotia, South to Virginia. It grows 6 to 10 inches tall and is a stemmed viola with stems that have leaves, it blooms from April through May.			Viola pensylvanica, Viola eriocarpa	Violet (Violaceae)	native								yellow	solitary	bilateral	5	Apr, May, Jun	basal	simple	cordiform	coarsely toothed, finely toothed	yes, long	branched	round	hairless	23, 15	upright no/few branches, sprawling	bunches, singular		
Arrow-leaved violet	Viola sagittata				Viola X abundans, Viola X cestrica, Viola X erratica, Viola fimbriatula, Viola emarginata, Viola subsagittata	Violet (Violaceae)	native								blue, purple	solitary	bilateral	5	Apr, May, Jun	basal	simple	cordiform	lobed, finely toothed	yes	branched, parallel	round	hairless	10, 5	upright no/few branches, sprawling	bunches, singular		
Common blue violet, Door-yard violet, Hairy wood violet	Viola sororia	Viola sororia, known commonly as the Common Blue Violet, is a stemless herbaceous perennial plant that is native to eastern North America. It is known by a number of common names including; Common Meadow Violet, Purple Violet, Woolly Blue Violet, Hooded Violet and Wood Violet. It is the state flower of Illinois, Rhode Island, New Jersey, and Wisconsin. Self-seeding freely, in lawns and gardens it can become a weed. Cleistogamous seed heads may also appear on short stems late summer, early autumn.			Viola floridana, Viola langloisii, Viola missouriensis, Viola rosacea, Viola domestica, Viola latiuscula, Viola palmata, Viola papilionacea, Viola priceana, Viola septentrionalis, Viola X napae	Violet (Violaceae)	native								blue, purple, white	solitary	bilateral	5	Apr, May, Jun	basal	simple	cordiform, reniform	finely toothed	yes, long	branched	round	hairless	10, 5	upright no/few branches, sprawling	patches, bunches, singular		
Summer grape	Vitis aestivalis	Vitis aestivalis (Summer Grape) is a species of grape native to eastern North America from southern Ontario east to Vermont, west to Oklahoma, and south to Florida and Texas.[1] It is a vigorous vine, growing to 10 m or more high in trees. The leaves  are 7–20 cm long, suborbicular, and usually a little broader than long;  they are variable in shape, from unlobed to deeply three- or  five-lobed, green above, and densely hairy below. The flowers are produced in a dense panicle 5–15 cm long. The fruit is a small grape 5–14 mm diameter, dark purple or black in color.[2] It is the official state grape of Missouri.[3] There are four varieties:[1] Vitis aestivalis var. aestivalis.Vitis aestivalis var. bicolor Deam (syn. var. argentifolia Fernald; Silverleaf Grape), formerly called Vitis bicolor, but now considered a northern variation of Vitis aestivalis. Native range is in the Northeastern United States and parts of Southern Ontario.Vitis aestivalis var. lincecumii (Buckley) Munson.Vitis aestivalis var. bourquiniana, native to the south, sometimes called Vitis bourquiniana, has tomentose undersides to the leaves.			Vitis lincecumii, Vitis rufotomentosa, Vitis simpsonii, Vitis smalliana, Vitis argentifolia, Vitis bicolor, Vitis lecontiana	Grape (Vitaceae)	native								green	panicle	radial	5	May, Jun, Jul	alternate	simple	lobed	lobed, coarsely toothed	yes	branched	round	hairless	109, 61	sprawling, upright no/few branches, upright branching	bunches, singular		
Frost grape, River bank grape	Vitis riparia	Mature vines have loose, fissured bark, and may attain several inches in diameter. Leaves are alternate, often with opposite tendrils  or inflorescences, coarsely toothed, 5–25 cm (2–10in) long and 5–20 cm  (2–8in) broad, sometimes with sparse hairs on the underside of veins. The inflorescence is paniculate 4–15 cm (1.5–6 in) long and loose, and the flowers are small, fragrant, dioecious, and white or greenish in color. V. riparia blooms in May or June and produces a small 6–15 mm blue-black berry (grape) with a bloom, seeded, juicy, edible, vinous in flavor, lacking the "foxy" characteristics of Vitis labrusca, but usually quite sour and herbaceous. V. riparia has a wide range and may deviate considerably in detail from the above general description. White berries, perfect flowers,  large clusters, large berries, and sweet fruit are among the known  variations. However, some observers consider such variations as evidence  of natural hybridization with other species of grapes.			Vitis vulpina	Grape (Vitaceae)	native								green, yellow	panicle	radial	5	May, Jun, Jul	alternate	simple	cordiform, lobed	lobed, coarsely toothed	yes	branched	round	hairless	109, 61	sprawling, upright no/few branches, upright branching	bunches, singular		
Heart-leaved golden alexanders, Heart-leaved alexanders, Heart-leaved meadow parsnip	Zizia aptera	Zizia is a genus of flowering plants named after Johann Baptist Ziz (1779–1829), a German botanist from the Rhineland.[2][3] Species within this genus include Z. aurea (common name Golden Alexander[2][4]) and Z. aptera (common name Heartleaf Alexander)[5][6] As typical of plants in the Apiaceae family, plants in this genus bear flowers on distinct umbels (umbrella-like inflorescences).[7]			Thaspium trifoliatum, Zizia cordata	Parsely, Carrot (Apiaceae)	native								yellow	umbel	radial	5	May, Jun	alternate, basal	pinnate, simple, trifoliate	cordiform, divided	finely toothed	yes	branched	round	hairless	61, 28	upright no/few branches	bunches, singular		
Golden alexanders, Common golden alexanders, Golden zizia	Zizia aurea	Zizia aurea (Golden Alexanders, Golden zizia) is a flowering perennial forb of the carrot family (Apiaceae). Golden Alexanders is hardy in USDA zones 4-9. It can be found from New Brunswick to Saskatchewan in Canada, south to Florida and Texas in the United States.[1] This native North American flower usually ranges in height from forty  centimeters to seventy five centimeters tall but can sometimes grow  taller. The leaves of the Golden Alexanders can up to eight centimeters  long and five centimeters wide. They are normally lanceolate or ovate in  shape. Other distinguishing factors of the leaves are that they have  serrated edges as well as two or three lobes in the leaf. Golden Alexanders blooms from May to June. Their flowers are yellow  in color and bunched at the top of the plant. Each flower is only three  millimeters long and has five sepals, five petals, and five stamens.  Each flower produces a single three to four millimeter long, oblong,  green fruit capsule. These fruit change color as the year goes on and  contain a brown seed. In the fall both the leave and the fruit turn  purple.			Smyrnium aureum	Parsely, Carrot (Apiaceae)	native								yellow	umbel	radial	5	May, Jun, Jul	alternate, basal	pinnate, trifoliate	divided, lobed, cordiform	finely toothed	yes, no	branched	round	hairless	61, 28	upright no/few branches, upright branching	bunches, singular		
